"","Pop","MLL_no","Indv_no","Pop_no","site_full","offsets_full"
"307","ING",771,"ING-14","14","Ingå",0.000819672363726527
"308","ING",771,"ING-15","15","Ingå",0.000819672363726527
"309","ING",771,"ING-16","16","Ingå",0.000819672363726527
"310","ING",771,"ING-17","17","Ingå",0.000819672363726527
"311","ING",771,"ING-18","18","Ingå",0.000819672363726527
"312","ING",771,"ING-19","19","Ingå",0.000819672363726527
"313","ING",771,"ING-20","20","Ingå",0.000819672363726527
"314","KAL",426,"KAL-01","01","Kalmarsund",5.63137021123092e-05
"315","KAL",427,"KAL-02","02","Kalmarsund",5.63137021123092e-05
"316","KAL",427,"KAL-03","03","Kalmarsund",5.63137021123092e-05
"317","KAL",441,"KAL-04","04","Kalmarsund",5.63137021123092e-05
"318","KAL",427,"KAL-05","05","Kalmarsund",5.63137021123092e-05
"319","KAL",436,"KAL-06","06","Kalmarsund",5.63137021123092e-05
"320","KAL",426,"KAL-07","07","Kalmarsund",5.63137021123092e-05
"321","KAL",436,"KAL-08","08","Kalmarsund",5.63137021123092e-05
"322","KAL",426,"KAL-09","09","Kalmarsund",5.63137021123092e-05
"323","KAL",441,"KAL-10","10","Kalmarsund",5.63137021123092e-05
"324","KAL",441,"KAL-11","11","Kalmarsund",5.63137021123092e-05
"325","KAL",436,"KAL-12","12","Kalmarsund",5.63137021123092e-05
"326","KAL",441,"KAL-13","13","Kalmarsund",5.63137021123092e-05
"327","KAL",426,"KAL-14","14","Kalmarsund",5.63137021123092e-05
"328","KAL",436,"KAL-15","15","Kalmarsund",5.63137021123092e-05
"329","KAL",436,"KAL-16","16","Kalmarsund",5.63137021123092e-05
"330","KAL",427,"KAL-17","17","Kalmarsund",5.63137021123092e-05
"331","KAL",441,"KAL-18","18","Kalmarsund",5.63137021123092e-05
"332","KAL",427,"KAL-19","19","Kalmarsund",5.63137021123092e-05
"333","KAL",448,"KAL-20","20","Kalmarsund",5.63137021123092e-05
"334","KAR",451,"KAR-02","02","Kårehamn",1.84717949528045e-05
"335","KAR",451,"KAR-08","08","Kårehamn",1.84717949528045e-05
"336","KAR",451,"KAR-09","09","Kårehamn",1.84717949528045e-05
"337","KAR",451,"KAR-12","12","Kårehamn",1.84717949528045e-05
"338","KAR",451,"KAR-13","13","Kårehamn",1.84717949528045e-05
"339","KAR",451,"KAR-14","14","Kårehamn",1.84717949528045e-05
