"go_method","fit_metric","fit_method","fit_type","cc","pearson","pearson_pval","spearman","spearman_pval","kendall","kendall_pval","r2","signif","pval_adj","signif_adj"
"lea","weigh","cf","rel","full",-0.208918022645406,0.00313898621960167,-0.090384458339278,0.205383122708562,-0.056051643815827,0.276116777685081,0.0436467401860662,FALSE,1,FALSE
"rda","weigh","cf","rel","full",-0.109677140070605,0.124007863103949,-0.193471998661779,0.00631410434980897,-0.112724202115012,0.0285073662065859,0.0120290750540672,TRUE,0.907479441819057,FALSE
"gf","weigh","cf","rel","full",-0.190971233581454,0.00703805074082198,-0.0919753056912374,0.197486279276341,-0.0413754833001019,0.421439616899705,0.0364700120556223,FALSE,1,FALSE
"env","weigh","cf","rel","full",-0.183039215056043,0.00984786102939243,-0.119280375831522,0.0941743139916373,-0.0803237554379877,0.118596536504144,0.0335033542483322,FALSE,1,FALSE
"lea","weigh","cg","rel","mll",0.493113460267242,1.5779052990866e-13,0.485141139603942,4.37736159512226e-13,0.346187089741261,3.56686145729291e-12,0.243160884696733,TRUE,1.64075627035474e-10,TRUE
"rda","weigh","cg","rel","mll",-0.138839651863786,0.0510884959835802,-0.20416673027159,0.0039123499349745,-0.127463687126269,0.0104618240406136,0.0192764489296574,TRUE,0.37662566546209,FALSE
"gf","weigh","cg","rel","mll",0.44639774374641,4.35224768140004e-11,0.453186305924826,2.02589456773672e-11,0.287489526257904,7.72337017525497e-09,0.199270945621886,TRUE,3.16658177185454e-07,TRUE
"env","weigh","cg","rel","mll",0.434277802876745,1.63565054309761e-10,0.473562762261846,1.83945672679583e-12,0.329263339685841,3.75496910378924e-11,0.188597210071453,TRUE,1.68973609670516e-09,TRUE
"lea","weigh","cg","rel","full",0.488220623188891,2.96075716159062e-13,0.457156832326974,1.28515942899462e-11,0.312232477288297,3.57901078091605e-10,0.238359376906948,TRUE,1.5389746357939e-08,TRUE
"rda","weigh","cg","rel","full",-0.11746025687051,0.0993408845703459,-0.159850882313187,0.0244778608847982,-0.0937232993575507,0.059770247250236,0.0137969119440862,FALSE,1,FALSE
"gf","weigh","cg","rel","full",0.437016675996811,1.21824475348973e-10,0.458376506128102,1.116159161085e-11,0.291131345890083,4.98910711864785e-09,0.190983575099302,TRUE,2.0954249898321e-07,TRUE
"env","weigh","cg","rel","full",0.434277802876745,1.63565054309761e-10,0.473562762261846,1.83945672679583e-12,0.329263339685841,3.75496910378924e-11,0.188597210071453,TRUE,1.68973609670516e-09,TRUE
