"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_scaled8.5","sal_scaled8.5"
"210","GAS",56,"GAS-11","11","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"211","GAS",56,"GAS-12","12","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"212","GAS",56,"GAS-13","13","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"213","GAS",56,"GAS-14","14","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"214","GAS",56,"GAS-15","15","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"215","GAS",56,"GAS-16","16","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"216","GAS",56,"GAS-17","17","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"217","GAS",56,"GAS-18","18","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"218","GAS",56,"GAS-19","19","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"219","GAS",66,"GAS-20","20","Kosterhavet","Gåsholmen ",11134688,58878628,0.0154289190167668,1.94527178821662
"220","GOT",176,"GOT-01","01","Kungsbacka","Gottskär",1202123,5739626,0.482321424915461,1.45174475373347
"221","GOT",177,"GOT-05","05","Kungsbacka","Gottskär",1202123,5739626,0.482321424915461,1.45174475373347
"222","GOT",178,"GOT-06","06","Kungsbacka","Gottskär",1202123,5739626,0.482321424915461,1.45174475373347
"223","GOT",179,"GOT-09","09","Kungsbacka","Gottskär",1202123,5739626,0.482321424915461,1.45174475373347
"224","GRO",193,"GRO-01","01","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"225","GRO",193,"GRO-03","03","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"226","GRO",193,"GRO-04","04","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"227","GRO",193,"GRO-09","09","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"228","GRO",193,"GRO-12","12","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"229","GRO",193,"GRO-14","14","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"230","GRO",193,"GRO-15","15","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"231","GRO",193,"GRO-16","16","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"232","GRO",193,"GRO-18","18","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"233","GRO",193,"GRO-19","19","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"234","GRO",193,"GRO-02","02","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"235","GRO",193,"GRO-05","05","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"236","GRO",193,"GRO-06","06","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"237","GRO",193,"GRO-07","07","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"238","GRO",193,"GRO-08","08","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"239","GRO",197,"GRO-10","10","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
"240","GRO",193,"GRO-11","11","Lahalmsbukten","Grötvik",1278014,5664116,0.949213930814155,0.464690684767178
