"","pop","mll_no","indv_no","pop_no","df","order","median_temp","max_temp","median_sal","min_sal"
"164","GRO",193,"GRO-01","01","seascape",164,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"165","GRO",193,"GRO-01","01","seascape",165,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"166","GRO",193,"GRO-01","01","seascape",166,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"167","GRO",193,"GRO-01","01","seascape",167,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"168","GRO",193,"GRO-01","01","seascape",168,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"169","GRO",193,"GRO-01","01","seascape",169,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"170","GRO",193,"GRO-01","01","seascape",170,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"171","GRO",193,"GRO-01","01","seascape",171,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"172","GRO",197,"GRO-10","10","seascape",172,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"173","HOG",200,"HOG-01","01","seascape",173,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"174","HOG",203,"HOG-04","04","seascape",174,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"175","HOG",204,"HOG-05","05","seascape",175,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"176","HOG",205,"HOG-06","06","seascape",176,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"177","HOG",208,"HOG-09","09","seascape",177,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"178","HOG",210,"HOG-15","15","seascape",178,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"179","HOG",210,"HOG-15","15","seascape",179,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"180","HOG",212,"HOG-17","17","seascape",180,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"181","HOG",213,"HOG-18","18","seascape",181,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"182","HOG",214,"HOG-10","10","seascape",182,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"183","HOG",216,"HOG-02","02","seascape",187,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"184","HOG",216,"HOG-02","02","seascape",183,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"185","HOG",216,"HOG-02","02","seascape",184,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"186","HOG",216,"HOG-02","02","seascape",185,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"187","HOG",216,"HOG-02","02","seascape",186,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"188","HOG",217,"HOG-07","07","seascape",189,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"189","HOG",217,"HOG-07","07","seascape",188,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"190","HOG",218,"HOG-19","19","seascape",190,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"191","ALA",219,"ALA-01","01","seascape",191,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"192","ALA",220,"ALA-04","04","seascape",192,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"193","ALA",222,"ALA-02","02","seascape",193,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"194","ALA",229,"ALA-09","09","seascape",194,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"195","ALA",230,"ALA-03","03","seascape",196,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"196","ALA",230,"ALA-03","03","seascape",198,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"197","ALA",230,"ALA-03","03","seascape",195,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"198","ALA",230,"ALA-03","03","seascape",197,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"199","ALA",230,"ALA-03","03","seascape",199,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"200","ALA",231,"ALA-11","11","seascape",200,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"201","ALA",233,"ALA-13","13","seascape",201,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"202","ALA",234,"ALA-14","14","seascape",202,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"203","ALA",236,"ALA-15","15","seascape",203,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"204","ALA",236,"ALA-15","15","seascape",204,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"205","ALA",237,"ALA-17","17","seascape",205,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"206","ALA",238,"ALA-18","18","seascape",206,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"207","ALA",239,"ALA-19","19","seascape",207,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"208","ALA",240,"ALA-20","20","seascape",208,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"209","BAR",241,"BAR-01","01","seascape",209,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"210","BAR",244,"BAR-02","02","seascape",210,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"211","BAR",247,"BAR-03","03","seascape",211,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"212","BAR",247,"BAR-03","03","seascape",212,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"213","BAR",247,"BAR-03","03","seascape",213,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"214","BAR",250,"BAR-06","06","seascape",214,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"215","BAR",251,"BAR-07","07","seascape",215,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"216","BAR",251,"BAR-07","07","seascape",216,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"217","BAR",251,"BAR-07","07","seascape",217,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"218","BAR",251,"BAR-07","07","seascape",218,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"219","BAR",251,"BAR-07","07","seascape",219,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"220","BAR",255,"BAR-10","10","seascape",220,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"221","BAR",255,"BAR-10","10","seascape",221,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"222","BAR",258,"BAR-14","14","seascape",222,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"223","BAR",259,"BAR-15","15","seascape",223,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
"224","BAR",260,"BAR-16","16","seascape",224,-0.367918645054933,-0.594677256838114,0.65789567604785,-0.291952006548182
