"","pop","trt","tank_ID","bagnum_text","median_temp","max_temp","median_sal","min_sal","df","median_temp_std","max_temp_std","median_sal_std","min_sal_std"
"40","KUR","TempControl-21psu","A2",40,20.117509765625,24.62205078125,21.2,21.1,"treatment",1.78399452763005,0.89432832690169,1.76604033516804,5.3962780050301
"41","VAT","TempControl-7psu","A2",41,20.117509765625,24.62205078125,7.1,7.1,"treatment",1.78399452763005,0.89432832690169,-0.604137372389888,0.122111249993459
"42","HOG","TempControl-7psu","A2",42,20.117509765625,24.62205078125,7.1,7.1,"treatment",1.78399452763005,0.89432832690169,-0.604137372389888,0.122111249993459
"43","BJO","TempControl-7psu","A2",43,20.117509765625,24.62205078125,7.2,7.2,"treatment",1.78399452763005,0.89432832690169,-0.5873276014143,0.159783869672292
"44","KUR","TempControl-7psu","A2",44,20.117509765625,24.62205078125,7.1,7,"treatment",1.78399452763005,0.89432832690169,-0.604137372389888,0.0844386303146261
"45","BAR","TempControl-7psu","A2",45,20.117509765625,24.62205078125,7,7,"treatment",1.78399452763005,0.89432832690169,-0.620947143365477,0.0844386303146261
"46","VIK","TempControl-7psu","A2",46,20.117509765625,24.62205078125,7.1,7.1,"treatment",1.78399452763005,0.89432832690169,-0.604137372389888,0.122111249993459
"47","KAL","TempControl-7psu","A2",47,20.117509765625,24.62205078125,7,6.9,"treatment",1.78399452763005,0.89432832690169,-0.620947143365477,0.0467660106357931
"48","HOR","TempControl-7psu","A2",48,20.117509765625,24.62205078125,7,7,"treatment",1.78399452763005,0.89432832690169,-0.620947143365477,0.0844386303146261
"49","HOG","TempControl-21psu","A2",49,20.117509765625,24.62205078125,21.4,21.3,"treatment",1.78399452763005,0.89432832690169,1.79965987711922,5.47162324438776
"50","BJO","TempControl-21psu","A2",50,20.117509765625,24.62205078125,20.9,20.8,"treatment",1.78399452763005,0.89432832690169,1.71561102224128,5.2832601459936
"51","HOR","TempControl-21psu","A2",51,20.117509765625,24.62205078125,21.4,21.3,"treatment",1.78399452763005,0.89432832690169,1.79965987711922,5.47162324438776
"52","KAL","TempControl-21psu","A2",52,20.117509765625,24.62205078125,21.3,21.3,"treatment",1.78399452763005,0.89432832690169,1.78285010614363,5.47162324438776
"53","VAT","TempControl-21psu","A2",53,20.117509765625,24.62205078125,21.4,21.3,"treatment",1.78399452763005,0.89432832690169,1.79965987711922,5.47162324438776
"54","KUR","TempControl-21psu","A2",54,20.117509765625,24.62205078125,21.2,21.1,"treatment",1.78399452763005,0.89432832690169,1.76604033516804,5.3962780050301
"55","VIK","TempControl-21psu","A2",55,20.117509765625,24.62205078125,21.3,21.2,"treatment",1.78399452763005,0.89432832690169,1.78285010614363,5.43395062470893
"56","BAR","TempControl-21psu","A2",56,20.117509765625,24.62205078125,21.2,21.1,"treatment",1.78399452763005,0.89432832690169,1.76604033516804,5.3962780050301
