"trt","pop","fit_off","method","fit","metric","pop_ord","trt_ord","pos_fit_off","log_fit_off"
"TempWarm_16psu","VIK",0.545793821210808,"cf","rel","weigh",2,3,6.94219412873393,1.93761788142975
"TempWarm_16psu","KUR",-1.18091747610598,"cf","rel","weigh",5,3,5.21548283141714,1.65163166929013
"TempWarm_16psu","BJO",-3.46241960507821,"cf","rel","weigh",8,3,2.93398070244491,1.07636010248202
"TempWarm_16psu","VAT",4.18337296210444,"cf","rel","weigh",1,3,10.5797732696276,2.35894399610861
"TempWarm_16psu","HOR",-3.11069451205934,"cf","rel","weigh",7,3,3.28570579546378,1.18958148288121
"TempWarm_5psu","KAL",-2.79705077967419,"cf","rel","weigh",6,4,3.59934952784893,1.28075314242762
"TempWarm_5psu","KUR",NA,"cf","rel","weigh",5,4,NA,NA
"TempWarm_5psu","BJO",NA,"cf","rel","weigh",8,4,NA,NA
"TempWarm_5psu","BAR",-6.39540030752312,"cf","rel","weigh",4,4,0.001,-6.90775527898214
"TempWarm_5psu","HOR",NA,"cf","rel","weigh",7,4,NA,NA
"TempWarm_5psu","VAT",NA,"cf","rel","weigh",1,4,NA,NA
"TempWarm_5psu","VIK",NA,"cf","rel","weigh",2,4,NA,NA
"TempWarm_5psu","HOG",2.86874740493232,"cf","rel","weigh",3,4,9.26514771245544,2.22625980267072
